"","yy","mm","dd","hh","mm_2","wdir","wspd","gst","wvht","dpd","apd","mwd","pres","atmp","wtmp","dewp","vis","tide"
"66",2024,"01","03","19","18",310,2.1,99,99,99,99,999,1022.5,12.2,14.4,999,99,99
"67",2024,"01","03","20","18",290,2.1,99,99,99,99,999,1021.9,12.4,14.5,999,99,99
"68",2024,"01","03","21","18",300,9.8,99,99,99,99,999,1021.1,13.5,14.6,999,99,99
"69",2024,"01","03","22","18",300,10.8,99,99,99,99,999,1020.9,13.4,14.6,999,99,99
"70",2024,"01","03","22","58",300,9.8,99,99,99,99,999,1021,13.4,14.6,999,99,99
"71",2024,"01","04","00","18",290,12.4,99,99,99,99,999,1021.7,13.5,14.5,999,99,99
"72",2024,"01","04","01","18",300,10.8,99,99,99,99,999,1022.3,13.4,14.5,999,99,99
"73",2024,"01","04","02","18",310,12.4,99,99,99,99,999,1022.9,13.4,14.5,999,99,99
"74",2024,"01","04","03","18",310,9.3,99,99,99,99,999,1023.6,13.4,14.6,999,99,99
"75",2024,"01","04","04","18",320,7.2,99,99,99,99,999,1024.2,13.3,14.6,999,99,99
"76",2024,"01","04","05","18",310,6.7,99,99,99,99,999,1024.4,13.2,14.5,999,99,99
"77",2024,"01","04","06","18",310,10.8,99,99,99,99,999,1024.3,13.1,14.5,999,99,99
"78",2024,"01","04","07","18",320,7.7,99,99,99,99,999,1024.7,12.8,14.5,999,99,99
"79",2024,"01","04","08","18",320,9.8,99,99,99,99,999,1024.5,12.8,14.5,999,99,99
"80",2024,"01","04","09","18",320,8.2,99,99,99,99,999,1024.5,12.6,14.5,999,99,99
"81",2024,"01","04","10","18",330,8.2,99,99,99,99,999,1024.7,12.4,14.4,999,99,99
"82",2024,"01","04","11","18",360,6.2,99,99,99,99,999,1024.9,12.1,14.4,999,99,99
"83",2024,"01","04","12","18",320,5.7,99,99,99,99,999,1025.3,12,14.4,999,99,99
"84",2024,"01","04","13","18",310,8.2,99,99,99,99,999,1025.3,12.5,14.4,999,99,99
"85",2024,"01","04","14","18",330,7.2,99,99,99,99,999,1025.6,12.3,14.4,999,99,99
"86",2024,"01","04","15","18",340,4.6,99,99,99,99,999,1026,11.6,14.5,999,99,99
"87",2024,"01","04","16","18",340,5.7,99,99,99,99,999,1026.7,12,14.5,999,99,99
"88",2024,"01","04","17","18",10,5.1,99,99,99,99,999,1027.6,12.3,14.6,999,99,99
"89",2024,"01","04","19","18",320,1,99,99,99,99,999,1027.5,12.3,14.6,999,99,99
"90",2024,"01","04","20","18",30,1.5,99,99,99,99,999,1026.7,12.7,14.6,999,99,99
"91",2024,"01","04","21","18",300,0.5,99,99,99,99,999,1025.8,13.3,14.8,999,99,99
"92",2024,"01","04","22","18",310,5.7,99,99,99,99,999,1025,13.7,14.6,999,99,99
"93",2024,"01","04","23","18",300,7.7,99,99,99,99,999,1024.8,13.8,14.6,999,99,99
"94",2024,"01","05","00","18",300,9.8,99,99,99,99,999,1024.9,13.8,14.5,999,99,99
"95",2024,"01","05","01","18",300,8.8,99,99,99,99,999,1024.7,13.7,14.5,999,99,99
"96",2024,"01","05","02","18",300,8.8,99,99,99,99,999,1025.4,13.8,14.5,999,99,99
"97",2024,"01","05","03","18",290,8.2,99,99,99,99,999,1025.3,13.7,14.4,999,99,99
"98",2024,"01","05","04","18",310,6.2,99,99,99,99,999,1026.1,13.6,14.4,999,99,99
"99",2024,"01","05","05","18",340,4.1,99,99,99,99,999,1025.9,13.3,14.4,999,99,99
"100",2024,"01","05","06","18",340,2.6,99,99,99,99,999,1026.4,13.2,14.4,999,99,99
"101",2024,"01","05","07","18",10,2.1,99,99,99,99,999,1025.9,12.8,14.4,999,99,99
"102",2024,"01","05","08","08",20,2.1,99,99,99,99,999,1025.8,12.7,14.3,999,99,99
"103",2024,"01","05","08","58",60,3.1,99,99,99,99,999,1025.3,12.7,14.3,999,99,99
"104",2024,"01","05","09","58",50,2.6,99,99,99,99,999,1025.1,12.4,14.3,999,99,99
"105",2024,"01","05","10","58",40,2.1,99,99,99,99,999,1025.1,12,14.3,999,99,99
"106",2024,"01","05","11","58",70,3.1,99,99,99,99,999,1024.9,11.8,14.3,999,99,99
"107",2024,"01","05","12","58",70,2.6,99,99,99,99,999,1025.2,11.9,14.3,999,99,99
"108",2024,"01","05","13","58",100,3.1,99,99,99,99,999,1025.2,11.9,14.3,999,99,99
"109",2024,"01","05","14","58",130,2.1,99,99,99,99,999,1025.6,12.2,14.3,999,99,99
"110",2024,"01","05","15","58",20,2.1,99,99,99,99,999,1026.5,12.6,14.3,999,99,99
"111",2024,"01","05","16","58",60,1.5,99,99,99,99,999,1026.8,12.2,14.3,999,99,99
"112",2024,"01","05","17","58",80,3.1,99,99,99,99,999,1027.4,11.7,14.3,999,99,99
"113",2024,"01","05","18","58",110,2.6,99,99,99,99,999,1027.1,12.3,14.3,999,99,99
"114",2024,"01","05","19","58",120,1.5,99,99,99,99,999,1026.6,13.2,14.3,999,99,99
"115",2024,"01","05","21","18",0,0,99,99,99,99,999,1025.1,13.6,14.5,999,99,99
"116",2024,"01","05","22","18",0,0,99,99,99,99,999,1024.7,14.2,14.6,999,99,99
"117",2024,"01","05","23","18",150,1.5,99,99,99,99,999,1024.6,14.2,14.8,999,99,99
"118",2024,"01","06","00","18",50,1.5,99,99,99,99,999,1024.5,14.6,14.5,999,99,99
"119",2024,"01","06","01","18",330,7.7,99,99,99,99,999,1024.7,15.6,14.5,999,99,99
"120",2024,"01","06","02","18",290,2.6,99,99,99,99,999,1024.9,14.9,14.5,999,99,99
"121",2024,"01","06","03","18",300,5.1,99,99,99,99,999,1024.9,14.3,14.4,999,99,99
"122",2024,"01","06","04","18",320,3.6,99,99,99,99,999,1025,14.1,14.5,999,99,99
"123",2024,"01","06","05","18",330,2.6,99,99,99,99,999,1025.1,14.1,14.5,999,99,99
"124",2024,"01","06","06","18",50,1.5,99,99,99,99,999,1024.7,13.9,14.4,999,99,99
"125",2024,"01","06","07","18",90,4.6,99,99,99,99,999,1024.9,13.6,14.4,999,99,99
"126",2024,"01","06","08","18",80,5.1,99,99,99,99,999,1024.3,13.1,14.4,999,99,99
"127",2024,"01","06","09","18",70,3.6,99,99,99,99,999,1023.5,12.4,14.4,999,99,99
"128",2024,"01","06","10","18",60,4.6,99,99,99,99,999,1023.8,11.3,14.4,999,99,99
"129",2024,"01","06","11","18",60,6.7,99,99,99,99,999,1023.7,11,14.2,999,99,99
"130",2024,"01","06","12","18",80,4.1,99,99,99,99,999,1023.5,10.3,14.1,999,99,99
"131",2024,"01","06","13","18",70,6.7,99,99,99,99,999,1023.1,10.4,14.1,999,99,99
"132",2024,"01","06","14","18",50,5.1,99,99,99,99,999,1023.3,9.6,14.1,999,99,99
"133",2024,"01","06","15","18",60,5.7,99,99,99,99,999,1023.1,9.4,14.1,999,99,99
"134",2024,"01","06","16","18",60,7.7,99,99,99,99,999,1023.2,9.2,14.1,999,99,99
"135",2024,"01","06","17","18",70,4.1,99,99,99,99,999,1023.6,9.4,14.1,999,99,99
"136",2024,"01","06","18","18",60,4.1,99,99,99,99,999,1023.2,9.7,14.1,999,99,99
"137",2024,"01","06","19","18",130,1.5,99,99,99,99,999,1021.9,10.8,14.2,999,99,99
"138",2024,"01","06","20","18",210,4.6,99,99,99,99,999,1020.4,12.7,14.2,999,99,99
"139",2024,"01","06","21","18",250,7.2,99,99,99,99,999,1019.6,13.3,14.2,999,99,99
"140",2024,"01","06","22","18",260,7.7,99,99,99,99,999,1018.8,13.3,14.2,999,99,99
"141",2024,"01","06","23","18",230,8.2,99,99,99,99,999,1017.3,13.1,14.1,999,99,99
"142",2024,"01","07","00","18",280,10.8,99,99,99,99,999,1016.8,13,14.1,999,99,99
"143",2024,"01","07","01","18",290,9.8,99,99,99,99,999,1016.9,13.5,14.1,999,99,99
"144",2024,"01","07","02","18",300,9.8,99,99,99,99,999,1017.8,12.7,14.2,999,99,99
"145",2024,"01","07","03","18",300,9.3,99,99,99,99,999,1017.6,12.7,14.2,999,99,99
"146",2024,"01","07","04","18",300,16.5,99,99,99,99,999,1017.3,12.8,14.3,999,99,99
"147",2024,"01","07","05","18",310,11.8,99,99,99,99,999,1017.5,12.5,14.3,999,99,99
"148",2024,"01","07","06","18",310,12.9,99,99,99,99,999,1017.7,12.3,14.3,999,99,99
"149",2024,"01","07","07","18",320,14.9,99,99,99,99,999,1018,12,14.3,999,99,99
"150",2024,"01","07","08","18",330,10.8,99,99,99,99,999,1018.4,11.4,14.2,999,99,99
"151",2024,"01","07","09","18",310,10.8,99,99,99,99,999,1018.1,11.2,14.2,999,99,99
"152",2024,"01","07","10","18",340,8.2,99,99,99,99,999,1019,10.8,14.2,999,99,99
"153",2024,"01","07","11","18",340,4.1,99,99,99,99,999,1018.9,10.4,14.1,999,99,99
"154",2024,"01","07","12","18",340,5.1,99,99,99,99,999,1018.9,10.2,14.1,999,99,99
"155",2024,"01","07","13","18",340,5.1,99,99,99,99,999,1018.9,10.2,14.1,999,99,99
"156",2024,"01","07","14","18",360,3.6,99,99,99,99,999,1019.6,9.6,14.1,999,99,99
"157",2024,"01","07","15","18",360,5.1,99,99,99,99,999,1020.2,9.7,14,999,99,99
"158",2024,"01","07","16","18",350,4.6,99,99,99,99,999,1020.7,9.7,14.1,999,99,99
"159",2024,"01","07","17","18",350,4.1,99,99,99,99,999,1021.4,9.7,14.1,999,99,99
"160",2024,"01","07","18","18",10,3.1,99,99,99,99,999,1021.7,10,14.1,999,99,99
"161",2024,"01","07","19","18",30,2.1,99,99,99,99,999,1021.3,9.6,14.1,999,99,99
"162",2024,"01","07","20","18",0,0,99,99,99,99,999,1020.6,10.7,14.1,999,99,99
"163",2024,"01","07","21","18",300,5.1,99,99,99,99,999,1019.9,11.6,14.2,999,99,99
"164",2024,"01","07","22","18",300,8.8,99,99,99,99,999,1019.3,11.8,14.2,999,99,99
"165",2024,"01","07","22","58",300,7.7,99,99,99,99,999,1019.4,11.9,14.1,999,99,99
"166",2024,"01","08","00","18",300,10.8,99,99,99,99,999,1019.8,12,14.1,999,99,99
"167",2024,"01","08","01","18",300,9.8,99,99,99,99,999,1020.2,12.1,14.1,999,99,99
"168",2024,"01","08","02","18",300,11.8,99,99,99,99,999,1021,12.1,14.2,999,99,99
"169",2024,"01","08","03","18",310,9.3,99,99,99,99,999,1021.4,11.9,14.3,999,99,99
"170",2024,"01","08","04","18",320,8.2,99,99,99,99,999,1021.8,11.7,14.3,999,99,99
"171",2024,"01","08","05","18",310,9.3,99,99,99,99,999,1021.9,12,14.3,999,99,99
"172",2024,"01","08","06","18",320,7.2,99,99,99,99,999,1022.2,11.9,14.2,999,99,99
"173",2024,"01","08","07","18",320,6.2,99,99,99,99,999,1022.4,12,14.2,999,99,99
"174",2024,"01","08","08","18",330,6.2,99,99,99,99,999,1022.7,11.6,14.1,999,99,99
"175",2024,"01","08","09","18",330,4.6,99,99,99,99,999,1023.1,11.2,14.1,999,99,99
"176",2024,"01","08","10","18",360,5.1,99,99,99,99,999,1023.5,10.8,14,999,99,99
"177",2024,"01","08","11","18",10,5.7,99,99,99,99,999,1023.8,10.4,14,999,99,99
"178",2024,"01","08","12","18",20,5.7,99,99,99,99,999,1024.1,10.4,14,999,99,99
"179",2024,"01","08","13","18",10,3.6,99,99,99,99,999,1024.7,10.7,14,999,99,99
"180",2024,"01","08","14","18",20,4.6,99,99,99,99,999,1025.5,10.5,14,999,99,99
"181",2024,"01","08","15","18",30,2.6,99,99,99,99,999,1026.2,9.6,14.2,999,99,99
"182",2024,"01","08","16","18",70,2.6,99,99,99,99,999,1027.1,9.3,14.2,999,99,99
"183",2024,"01","08","18","18",90,2.1,99,99,99,99,999,1029,9.5,14.2,999,99,99
"184",2024,"01","08","19","18",80,3.1,99,99,99,99,999,1028.7,9.9,14.2,999,99,99
"185",2024,"01","08","20","18",0,0,99,99,99,99,999,1028.5,10.8,14.2,999,99,99
"186",2024,"01","08","21","18",0,0,99,99,99,99,999,1027.9,11.6,14.3,999,99,99
"187",2024,"01","08","22","18",290,2.1,99,99,99,99,999,1027.5,11.6,14.4,999,99,99
"188",2024,"01","09","00","18",290,5.1,99,99,99,99,999,1027.8,13,14.4,999,99,99
"189",2024,"01","09","01","18",280,5.1,99,99,99,99,999,1027.4,12.8,14.3,999,99,99
"190",2024,"01","09","02","18",290,6.2,99,99,99,99,999,1027.7,12.7,14.3,999,99,99
"191",2024,"01","09","03","18",300,6.7,99,99,99,99,999,1027.9,12.7,14.2,999,99,99
"192",2024,"01","09","04","18",340,3.6,99,99,99,99,999,1028.1,12.4,14.2,999,99,99
"193",2024,"01","09","05","18",340,4.1,99,99,99,99,999,1028.9,12,14.1,999,99,99
"194",2024,"01","09","06","18",350,4.1,99,99,99,99,999,1029.3,12,14.1,999,99,99
"195",2024,"01","09","07","18",10,3.6,99,99,99,99,999,1029.3,11.8,14.1,999,99,99
"196",2024,"01","09","08","08",60,4.1,99,99,99,99,999,1029.3,11,14.1,999,99,99
"197",2024,"01","09","08","58",70,4.6,99,99,99,99,999,1029.3,10.6,14.1,999,99,99
"198",2024,"01","09","09","58",70,3.6,99,99,99,99,999,1029.4,11.2,14,999,99,99
"199",2024,"01","09","10","58",70,5.1,99,99,99,99,999,1028.9,10.3,13.9,999,99,99
"200",2024,"01","09","11","58",60,4.1,99,99,99,99,999,1028.8,10.2,13.9,999,99,99
"201",2024,"01","09","12","58",80,5.1,99,99,99,99,999,1028.3,9.7,13.9,999,99,99
"202",2024,"01","09","13","58",80,5.1,99,99,99,99,999,1028.3,10,13.8,999,99,99
"203",2024,"01","09","14","58",90,5.7,99,99,99,99,999,1028.1,9.9,13.7,999,99,99
"204",2024,"01","09","15","58",70,5.7,99,99,99,99,999,1028,9.7,13.7,999,99,99
"205",2024,"01","09","16","58",60,5.1,99,99,99,99,999,1028.3,9.2,13.8,999,99,99
"206",2024,"01","09","17","58",80,4.6,99,99,99,99,999,1028.2,9.8,13.7,999,99,99
"207",2024,"01","09","18","58",90,4.1,99,99,99,99,999,1027.7,10.9,13.7,999,99,99
"208",2024,"01","09","19","58",100,2.1,99,99,99,99,999,1026.5,11.8,13.7,999,99,99
"209",2024,"01","09","21","18",270,1,99,99,99,99,999,1025.1,11.9,13.8,999,99,99
"210",2024,"01","09","22","18",30,1.5,99,99,99,99,999,1024.4,10.6,13.8,999,99,99
"211",2024,"01","09","22","58",330,4.1,99,99,99,99,999,1024.9,10.9,13.8,999,99,99
"212",2024,"01","10","00","18",310,2.6,99,99,99,99,999,1024.9,11.4,13.8,999,99,99
"213",2024,"01","10","01","18",310,8.8,99,99,99,99,999,1023.5,12.7,13.8,999,99,99
"214",2024,"01","10","02","18",310,7.7,99,99,99,99,999,1023.7,12.6,13.8,999,99,99
"215",2024,"01","10","03","18",310,9.3,99,99,99,99,999,1023.7,12.4,13.8,999,99,99
"216",2024,"01","10","04","18",310,8.8,99,99,99,99,999,1023.6,12.3,13.8,999,99,99
"217",2024,"01","10","05","18",310,7.7,99,99,99,99,999,1023.5,12,13.6,999,99,99
"218",2024,"01","10","06","18",320,10.3,99,99,99,99,999,1023.3,12,13.6,999,99,99
"219",2024,"01","10","07","18",320,8.8,99,99,99,99,999,1023.6,11.6,13.6,999,99,99
"220",2024,"01","10","08","18",320,6.7,99,99,99,99,999,1023.4,11.6,13.6,999,99,99
"221",2024,"01","10","09","18",330,7.2,99,99,99,99,999,1023.4,11.3,13.6,999,99,99
"222",2024,"01","10","10","18",330,5.1,99,99,99,99,999,1023.2,11.1,13.5,999,99,99
"223",2024,"01","10","11","18",340,6.2,99,99,99,99,999,1023.1,10.9,13.6,999,99,99
"224",2024,"01","10","12","18",330,4.1,99,99,99,99,999,1022.7,11.1,13.6,999,99,99
"225",2024,"01","10","13","18",330,6.2,99,99,99,99,999,1022.2,11.2,13.6,999,99,99
"226",2024,"01","10","14","18",20,3.6,99,99,99,99,999,1022.1,10.9,13.6,999,99,99
"227",2024,"01","10","15","18",60,2.1,99,99,99,99,999,1022.2,10.6,13.6,999,99,99
"228",2024,"01","10","16","18",270,3.6,99,99,99,99,999,1022.3,11,13.5,999,99,99
"229",2024,"01","10","17","18",200,3.1,99,99,99,99,999,1022.2,10.8,13.6,999,99,99
"230",2024,"01","10","18","18",250,1,99,99,99,99,999,1022.2,11.5,13.6,999,99,99
"231",2024,"01","10","19","18",30,1,99,99,99,99,999,1021.8,10.7,13.7,999,99,99
"232",2024,"01","10","20","18",200,1.5,99,99,99,99,999,1019.6,11.7,13.8,999,99,99
"233",2024,"01","10","21","18",260,6.2,99,99,99,99,999,1019.5,12.4,13.7,999,99,99
"234",2024,"01","10","22","18",260,8.2,99,99,99,99,999,1018.2,12.4,13.7,999,99,99
"235",2024,"01","10","22","58",260,6.7,99,99,99,99,999,1017.4,12.2,13.6,999,99,99
"236",2024,"01","11","00","18",280,7.2,99,99,99,99,999,1017.6,11.7,13.6,999,99,99
"237",2024,"01","11","01","18",290,7.2,99,99,99,99,999,1016.9,12.3,13.6,999,99,99
"238",2024,"01","11","02","18",270,7.7,99,99,99,99,999,1016.3,13.1,13.6,999,99,99
"239",2024,"01","11","03","18",280,10.3,99,99,99,99,999,1015.4,13,13.6,999,99,99
"240",2024,"01","11","04","18",270,10.8,99,99,99,99,999,1015.1,13.4,13.6,999,99,99
"241",2024,"01","11","05","18",300,12.9,99,99,99,99,999,1014.6,11.9,13.7,999,99,99
"242",2024,"01","11","06","18",310,16.5,99,99,99,99,999,1015.5,12.2,13.7,999,99,99
"243",2024,"01","11","07","18",310,10.8,99,99,99,99,999,1016.3,11.9,13.7,999,99,99
"244",2024,"01","11","08","18",300,14.4,99,99,99,99,999,1016.3,11.9,13.7,999,99,99
"245",2024,"01","11","09","18",310,12.9,99,99,99,99,999,1016.7,11.8,13.6,999,99,99
"246",2024,"01","11","10","18",310,11.8,99,99,99,99,999,1018,11.5,13.6,999,99,99
"247",2024,"01","11","11","18",300,12.9,99,99,99,99,999,1018.1,11.3,13.6,999,99,99
"248",2024,"01","11","12","18",320,10.3,99,99,99,99,999,1018.8,11,13.5,999,99,99
"249",2024,"01","11","13","18",330,7.2,99,99,99,99,999,1019.6,10.2,13.5,999,99,99
"250",2024,"01","11","14","18",320,6.7,99,99,99,99,999,1020.3,10.2,13.5,999,99,99
"251",2024,"01","11","15","18",320,6.2,99,99,99,99,999,1020.7,10.2,13.5,999,99,99
"252",2024,"01","11","16","18",330,6.2,99,99,99,99,999,1021,10.1,13.5,999,99,99
"253",2024,"01","11","17","18",350,4.1,99,99,99,99,999,1022.4,9.8,13.5,999,99,99
"254",2024,"01","11","18","18",250,1.5,99,99,99,99,999,1023.2,10.4,13.5,999,99,99
"255",2024,"01","11","19","18",100,1.5,99,99,99,99,999,1023.3,10.3,13.5,999,99,99
"256",2024,"01","11","20","18",360,2.1,99,99,99,99,999,1023,10.8,13.6,999,99,99
"257",2024,"01","11","21","18",330,1,99,99,99,99,999,1022.8,10.6,13.7,999,99,99
"258",2024,"01","11","22","18",260,1,99,99,99,99,999,1022.6,11.1,13.7,999,99,99
"259",2024,"01","11","22","48",90,1,99,99,99,99,999,1022.3,11.3,13.8,999,99,99
"260",2024,"01","12","00","18",300,6.2,99,99,99,99,999,1023.1,11.7,13.7,999,99,99
"261",2024,"01","12","01","18",300,6.2,99,99,99,99,999,1023.2,11.4,13.6,999,99,99
"262",2024,"01","12","02","18",300,6.7,99,99,99,99,999,1023.6,11.6,13.6,999,99,99
"263",2024,"01","12","03","18",300,6.7,99,99,99,99,999,1024,11.6,13.6,999,99,99
"264",2024,"01","12","04","18",320,6.2,99,99,99,99,999,1024.6,11.5,13.6,999,99,99
"265",2024,"01","12","05","18",10,3.1,99,99,99,99,999,1024.7,10.8,13.6,999,99,99
"266",2024,"01","12","06","18",350,4.6,99,99,99,99,999,1025,10.4,13.6,999,99,99
"267",2024,"01","12","07","18",350,6.2,99,99,99,99,999,1024.7,10.9,13.6,999,99,99
"268",2024,"01","12","08","18",10,4.1,99,99,99,99,999,1025,10.2,13.6,999,99,99
"269",2024,"01","12","09","18",350,2.1,99,99,99,99,999,1024.7,10.4,13.6,999,99,99
"270",2024,"01","12","10","18",360,3.6,99,99,99,99,999,1024.9,10.2,13.6,999,99,99
"271",2024,"01","12","11","18",50,4.1,99,99,99,99,999,1025.2,9.3,13.6,999,99,99
"272",2024,"01","12","12","18",60,3.6,99,99,99,99,999,1025.4,8.7,13.6,999,99,99
"273",2024,"01","12","13","18",70,3.6,99,99,99,99,999,1025.3,8.2,13.6,999,99,99
"274",2024,"01","12","14","18",70,5.1,99,99,99,99,999,1025.5,8.2,13.5,999,99,99
"275",2024,"01","12","15","18",70,2.6,99,99,99,99,999,1026.2,8.5,13.5,999,99,99
"276",2024,"01","12","16","18",90,4.6,99,99,99,99,999,1026.1,8.5,13.5,999,99,99
"277",2024,"01","12","17","18",90,5.1,99,99,99,99,999,1026.9,8.2,13.5,999,99,99
"278",2024,"01","12","18","18",80,4.6,99,99,99,99,999,1027.1,9,13.5,999,99,99
"279",2024,"01","12","19","18",80,3.6,99,99,99,99,999,1026.5,9.2,13.5,999,99,99
"280",2024,"01","12","20","18",90,3.1,99,99,99,99,999,1025.8,10,13.5,999,99,99
